Price,Close,High,Low,Open,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
Date,,,,,
2023-06-05,19.186546325683594,19.249407342797152,19.018917390779563,19.235439264035747,39321700
2023-06-06,19.591650009155273,19.731341454989494,19.004948068165717,19.172578336045326,75426600
2023-06-07,20.164384841918945,20.297090256433155,19.857064445608792,20.010723977665656,82330400
2023-06-09,21.149206161499023,21.22603526303641,20.269153189244285,20.325029504997136,80442400
2023-06-12,21.519384384155273,21.6451064167254,20.981575391333312,21.107296091707106,119350400
2023-06-13,21.47739601135254,21.760188536895264,21.27646369562151,21.760188536895264,79174900
2023-06-14,22.400196075439453,22.400196075439453,21.49228025451975,21.536932829585556,98326000
2023-06-15,21.871816635131836,22.95833839911231,21.78995642716498,22.474613568740008,120579500
2023-06-16,22.057861328125,22.26623570211245,21.611347042977215,21.75274257087134,94572000
2023-06-19,22.638334274291992,22.668101234039487,21.990886221429275,22.050421560358707,34573900
2023-06-20,22.74996566772461,22.88392055172228,22.251356610308072,22.549033341728105,55605300
2023-06-21,23.702529907226562,23.814158491267488,22.958337454374455,23.017872793825244,89294300
2023-06-22,23.404855728149414,23.58346176571838,23.1295038664173,23.41229640437617,43455800
2023-06-23,22.44484519958496,23.27834140605646,22.243912888279176,23.218806064125243,76023400
2023-06-26,22.950895309448242,23.107175042877735,22.41507725555997,22.41507725555997,53635000
2023-06-27,22.77229118347168,23.21880697519359,22.578800959744367,23.017874656003546,48399600
2023-06-28,22.988107681274414,23.203924204600238,22.735082097791903,22.75740838554671,36794600
2023-06-29,23.092294692993164,23.159272134178604,22.891362369436848,23.069968406119816,32071800
2023-06-30,21.97600555419922,23.129503388625327,21.819724387408083,23.069968043998845,104262900
2023-07-03,22.385311126708984,22.459730663200578,22.117401363113082,22.117401363113082,31266900
2023-07-04,22.43740463256836,22.616010670526396,22.2960076535636,22.2960076535636,18308000
2023-07-05,22.407636642456055,22.735080320656614,22.072749449484405,22.444845699704217,53585500
2023-07-06,22.0653076171875,22.3257752793333,21.693211362531944,22.214146686823547,47685700
2023-07-07,21.953678131103516,22.47461343419164,21.849491638259693,22.147168345980976,55533500
2023-07-10,21.990890502929688,22.080194238427985,21.589027241774154,21.663446784783616,25590200
2023-07-11,21.693212509155273,21.9760064725243,21.581583910745245,21.9760064725243,40877000
2023-07-12,21.70809555053711,22.154611339952165,21.68576926426426,21.73042183680996,40181800
2023-07-13,22.05042266845703,22.117400105547762,21.611350408934328,21.633675275008226,35886500
2023-07-14,21.618791580200195,22.013214116615778,21.47739602704281,21.953678773329894,34451100
2023-07-17,21.574140548706055,21.64856008308982,20.800181081644734,21.14250895260168,52160800
2023-07-18,21.455068588256836,21.73042042330619,21.36576486840896,21.581581363371217,35640400
2023-07-19,21.656003952026367,21.678328820565643,21.2615813810947,21.440187426582245,46517700
2023-07-20,21.678327560424805,21.842050823847313,21.492279429760746,21.633676406507114,33177100
2023-07-21,22.08763313293457,22.221588007047075,21.678326415431414,21.693210605762697,52059200
2023-07-24,22.549028396606445,22.63089001208225,22.14716525217878,22.17693220907542,45268100
2023-07-25,23.06996726989746,23.107176326752516,22.474613843609404,22.69787102360879,56261000
2023-07-26,23.06996726989746,23.23368910726804,22.79461542309265,23.032758213042406,45880200
2023-07-27,21.871816635131836,22.98810536034539,21.86437453996494,22.95833839911231,86471900
2023-07-28,22.14716911315918,22.28856608651272,21.819724013605814,21.901585643352792,43608600
2023-07-31,23.15182876586914,23.181595727296006,22.549031828336695,22.549031828336695,91290800
2023-08-01,22.77229118347168,23.136945344538113,22.288566333870683,23.136945344538113,75752400
2023-08-02,22.720197677612305,22.75740673507041,22.176936070455877,22.70531348685524,62068400
2023-08-03,23.01043128967285,23.166711027455165,22.787174115859695,23.017873384724556,57304400
2023-08-04,22.325775146484375,23.174154147831725,22.132284924882697,22.846710467676168,120685800
2023-08-07,22.46717071533203,22.697869979982002,22.22158726085059,22.22158726085059,44984900
2023-08-08,22.4894962310791,22.616009009436656,22.117399991137415,22.258796959756918,34771300
2023-08-09,22.66810417175293,22.861594403207906,22.44484697669275,22.482056036057905,48561500
2023-08-10,22.79461669921875,22.965782060864246,22.41507975585883,22.54903321969695,54020200
2023-08-11,22.742521286010742,23.09973474724355,22.444844584512136,22.77973176084462,39403200
2023-08-14,22.802059173583984,22.876478712130844,22.526708726225635,22.682988479682866,27992700
2023-08-15,22.965782165527344,23.925791220400605,22.958340069818874,23.85137026331591,87366200
2023-08-16,23.471830368041992,23.799274021450397,22.980662049060502,23.069965766902893,74461000
2023-08-17,23.39741325378418,23.955556225006617,23.300667431186927,23.62811253781407,57570600
2023-08-18,23.456945419311523,23.576016092958028,23.203919882954104,23.375083798891655,45579700
2023-08-21,23.293224334716797,23.83648451094766,23.047640870158016,23.5909024658234,42236900
2023-08-22,23.64806365966797,23.64806365966797,23.36221579211311,23.563081582427618,31372200
2023-08-23,24.90734100341797,24.90734100341797,24.018895635294804,24.103877724934097,95507400
2023-08-24,24.86870765686035,25.278166499038793,24.598312810492054,24.930513877220417,49332300
2023-08-25,24.69874382019043,25.085025311727772,24.56740855513013,25.015494790605185,34079000
2023-08-28,24.97686767578125,24.98459197951682,24.613763511472744,24.799176271953435,24956100
2023-08-29,25.03095054626465,25.108205383997532,24.7141995226852,25.03095054626465,40607500
2023-08-30,25.200908660888672,25.26271488109496,24.953689674229086,25.03867175347134,34637900
2023-08-31,24.675567626953125,25.332243943333502,24.629212964473588,25.270437726694116,48971500
2023-09-01,25.208637237548828,25.254988958058156,24.691020430892085,24.884160458568807,50089200
2023-09-04,24.945966720581055,25.27816780446509,24.884160497029168,25.247264692689146,21667400
2023-09-05,25.78032875061035,25.87303808105342,24.891886436985214,24.930513851128428,75082900
2023-09-06,25.896215438842773,26.112531328230105,25.664447993487354,25.764878686655496,57856500
2023-09-08,25.803508758544922,26.012097394049736,25.69534786799048,25.86531203463596,39074100
2023-09-11,25.78032875061035,26.027547737626286,25.749428587545452,25.857586525979578,30276200
2023-09-12,25.903940200805664,26.09708023319362,25.87304003540668,25.91939175704666,31963000
2023-09-13,25.517658233642578,26.0352750143362,25.517658233642578,25.996647600154954,47685700
2023-09-14,26.166608810424805,26.26704244495635,25.5717372014038,25.5717372014038,46502100
